"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Taxa_mil_hab","Nombre"
2020,8,"Nou Barris",53,"la Trinitat Nova","Taxa per mil habitants","42.5"
2020,8,"Nou Barris",54,"Torre Baró","Taxa per mil habitants","37.0"
2020,8,"Nou Barris",55,"Ciutat Meridiana","Taxa per mil habitants","47.5"
2020,8,"Nou Barris",56,"Vallbona","Taxa per mil habitants","33.8"
2020,9,"Sant Andreu",57,"la Trinitat Vella","Taxa per mil habitants","45.8"
2020,9,"Sant Andreu",58,"Baró de Viver","Taxa per mil habitants","25.2"
2020,9,"Sant Andreu",59,"el Bon Pastor","Taxa per mil habitants","53.7"
2020,9,"Sant Andreu",60,"Sant Andreu","Taxa per mil habitants","24.3"
2020,9,"Sant Andreu",61,"la Sagrera","Taxa per mil habitants","35.2"
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Taxa per mil habitants","31.2"
2020,9,"Sant Andreu",63,"Navas","Taxa per mil habitants","32.7"
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Taxa per mil habitants","44.7"
2020,10,"Sant Martí",65,"el Clot","Taxa per mil habitants","38.3"
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Taxa per mil habitants","43.8"
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Taxa per mil habitants","35.8"
2020,10,"Sant Martí",68,"el Poblenou","Taxa per mil habitants","39.9"
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Taxa per mil habitants","39.1"
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Taxa per mil habitants","68.6"
2020,10,"Sant Martí",71,"Provençals del Poblenou","Taxa per mil habitants","34.4"
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Taxa per mil habitants","32.5"
2020,10,"Sant Martí",73,"la Verneda i la Pau","Taxa per mil habitants","29.1"
